Timestamp_023	Field_023	Sorb_023	Pot1k_023	PotHe3_023	Probe_Cx_023	TDO1_023	TDO2_023
54.844	17.75529	4.1337	0	0.2758	0.7217	10616326.46	5307574.67
55.463	17.75294	4.1337	0	0.2758	0.7217	10616815.99	5307068.029
56.148	17.74923	4.1336	0	0.2758	0.7217	10617008.34	5306686.142
56.604	17.74737	4.1336	0	0.2758	0.7216	10617478.01	5306651.02
57.061	17.74486	4.1336	0	0.2758	0.7216	10617943.79	5306357.92
57.567	17.74175	4.1337	0	0.2759	0.7216	10618315.24	5305986.911
58.037	17.7394	4.1337	0	0.2759	0.7216	10618667.12	5305561.986
58.656	17.73706	4.1337	0	0.2759	0.7216	10618984.21	5305389.309
59.112	17.73438	4.1337	0	0.2759	0.7216	10619233.32	5305138.464
59.567	17.73236	4.1337	0	0.2759	0.7216	10619743.86	5304917.53
60.023	17.73007	4.1336	0	0.2759	0.7215	10620251.89	5304377.542
60.704	17.72674	4.1337	0	0.2759	0.7215	10620726.2	5304069.22
61.226	17.72336	4.1337	0	0.2759	0.7215	10621100.78	5303990.739
61.697	17.72112	4.1337	0	0.276	0.7215	10621411.9	5303631.396
62.145	17.71888	4.1337	0	0.276	0.7215	10621776.94	5303086.117
62.756	17.71648	4.1337	0	0.276	0.7215	10622251.62	5302853.298
63.261	17.71326	4.1337	0	0.276	0.7215	10622460.46	5302803.484
63.726	17.71097	4.1337	0	0.276	0.7214	10622888.67	5302411.825
64.153	17.70878	4.1337	0	0.276	0.7214	10623334.84	5301988.351
64.806	17.70622	4.1337	0	0.276	0.7214	10623653.73	5301582.224
65.261	17.70371	4.1337	0	0.276	0.7214	10624015.13	5301475.204
65.719	17.70158	4.1337	0	0.2761	0.7214	10624371.08	5301469.531
66.007	17.6995	4.1337	0	0.2761	0.7214	10624656.52	5301140.662
66.447	17.69743	4.1337	0	0.2761	0.7214	10625057.85	5300651.992
67.085	17.69481	4.1337	0	0.2761	0.7214	10625418.2	5300318.121
67.61	17.69142	4.1337	0	0.2761	0.7213	10625872.83	5300046.415
68.224	17.68902	4.1337	0	0.2761	0.7213	10626111	5299715.859
68.679	17.68635	4.1337	0	0.2761	0.7213	10626488.22	5299486.274
69.135	17.68449	4.1338	0	0.2761	0.7213	10626809.85	5299101.143
69.592	17.68247	4.1338	0	0.2761	0.7213	10627339.05	5298861.987
70.086	17.67914	4.1338	0	0.2762	0.7213	10627667.05	5298586.146
70.73	17.67663	4.1337	0	0.2762	0.7213	10628151.57	5298312.249
71.254	17.6733	4.1337	0	0.2762	0.7212	10628510.53	5297794.334
71.868	17.67096	4.1337	0	0.2762	0.7212	10628834.27	5297605.841
72.324	17.66872	4.1337	0	0.2762	0.7212	10629266.03	5297410.871
72.834	17.66539	4.1338	0	0.2762	0.7212	10629643.21	5297134.253
73.261	17.66326	4.1338	0	0.2762	0.7212	10630000.63	5296781.853
73.754	17.66075	4.1338	0	0.2762	0.7212	10630356.67	5296238.948
74.373	17.65824	4.1338	0	0.2762	0.7212	10630662.18	5296130.981
74.829	17.65605	4.1338	0	0.2762	0.7212	10630958.99	5295895.589
75.284	17.65376	4.1337	0	0.2763	0.7211	10631508.61	5295692.669
75.78	17.6506	4.1337	0	0.2763	0.7211	10631850.97	5295269.097
76.254	17.6483	4.1337	0	0.2763	0.7211	10632018.19	5294917.814
76.7	17.64617	4.1337	0	0.2763	0.7211	10632496.79	5294877.424
77.169	17.64366	4.1337	0	0.2763	0.7211	10632844.37	5294606.34
77.637	17.64132	4.1337	0	0.2763	0.7211	10633192.97	5294299.776
78.062	17.63924	4.1337	0	0.2763	0.7211	10633544.12	5293854.669
78.526	17.63684	4.1337	0	0.2763	0.7211	10633863.9	5293655.061
78.977	17.63466	4.1337	0	0.2763	0.721	10634172.3	5293323.081
79.61	17.63226	4.1337	0	0.2764	0.721	10634535.94	5293132.973
80.066	17.6298	4.1337	0	0.2764	0.721	10634821.72	5292751.303
80.521	17.62745	4.1338	0	0.2764	0.721	10635192.79	5292397.125
80.976	17.62532	4.1338	0	0.2764	0.721	9636436.69	5292404.353
81.472	17.62227	4.1338	0	0.2764	0.721	9636867.04	5292036.165
